date,n_calls,n_answered,answer_machines,answ_m_share,answered_share,leads,lead_fr_answered,approved,approved_share,approved_of_answered
20.04.2021,9734,3977,0,0.000,0.409,175,0.044,69,0.394,0.017
21.04.2021,12416,4701,0,0.000,0.379,151,0.032,73,0.483,0.016
22.04.2021,6620,3176,0,0.000,0.480,69,0.022,50,0.725,0.016
24.04.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
23.04.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
25.04.2021,5840,2775,0,0.000,0.475,46,0.017,24,0.522,0.009
26.04.2021,6724,3772,0,0.000,0.561,90,0.024,54,0.600,0.014
27.04.2021,7096,3151,0,0.000,0.444,44,0.014,19,0.432,0.006
28.04.2021,8538,2895,0,0.000,0.339,56,0.019,34,0.607,0.012
29.04.2021,6086,2193,0,0.000,0.360,77,0.035,26,0.338,0.012
30.04.2021,6417,2594,0,0.000,0.404,97,0.037,37,0.381,0.014
01.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
02.05.2021,6048,3086,0,0.000,0.510,75,0.024,24,0.320,0.008
03.05.2021,7290,2513,0,0.000,0.345,71,0.028,31,0.437,0.012
04.05.2021,6977,3417,0,0.000,0.490,87,0.025,42,0.483,0.012
05.05.2021,5290,1690,0,0.000,0.319,44,0.026,23,0.523,0.014
06.05.2021,10972,2596,0,0.000,0.237,58,0.022,35,0.603,0.013
07.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
08.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
09.05.2021,1911,943,0,0.000,0.493,24,0.025,10,0.417,0.011
10.05.2021,3868,1345,0,0.000,0.348,30,0.022,14,0.467,0.010
11.05.2021,1672,683,0,0.000,0.408,24,0.035,10,0.417,0.015
12.05.2021,64,29,0,0.000,0.453,1,0.034,0,0.000,0.000
13.05.2021,10490,3063,0,0.000,0.292,65,0.021,36,0.554,0.012
14.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
15.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
16.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
17.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
18.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
19.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
20.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
21.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
22.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
23.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
24.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
25.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
26.05.2021,3868,1280,0,0.000,0.331,25,0.020,0,0.000,0.000
27.05.2021,10742,3957,0,0.000,0.368,114,0.029,0,0.000,0.000
28.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
29.05.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
30.05.2021,12741,5937,0,0.000,0.466,127,0.021,78,0.614,0.013
01.06.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
02.06.2021,36557,17432,0,0.000,0.477,466,0.027,229,0.491,0.013
03.06.2021,26862,12419,0,0.000,0.462,370,0.030,189,0.511,0.015
04.06.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
05.06.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
06.06.2021,28370,14836,0,0.000,0.523,435,0.029,233,0.536,0.016
07.06.2021,21194,10106,0,0.000,0.477,331,0.033,181,0.547,0.018
08.06.2021,16658,11506,0,0.000,0.691,381,0.033,209,0.549,0.018
09.06.2021,21865,11997,0,0.000,0.549,414,0.035,229,0.553,0.019
10.06.2021,17892,9767,0,0.000,0.546,323,0.033,200,0.619,0.020
11.06.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
12.06.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
13.06.2021,13980,8085,0,0.000,0.578,257,0.032,153,0.595,0.019
14.06.2021,20092,11261,0,0.000,0.560,352,0.031,206,0.585,0.018
15.06.2021,22568,10643,0,0.000,0.472,339,0.032,191,0.563,0.018
16.06.2021,27153,11444,0,0.000,0.421,319,0.028,216,0.677,0.019
17.06.2021,38592,16807,0,0.000,0.436,484,0.029,322,0.665,0.019
18.06.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
19.06.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
20.06.2021,10526,5057,0,0.000,0.480,131,0.026,75,0.573,0.015
21.06.2021,24297,11864,0,0.000,0.488,321,0.027,213,0.664,0.018
22.06.2021,23878,12086,0,0.000,0.506,320,0.026,207,0.647,0.017
23.06.2021,28142,12873,0,0.000,0.457,202,0.016,123,0.609,0.010
24.06.2021,32596,12858,0,0.000,0.394,351,0.027,226,0.644,0.018
25.06.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
26.06.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
27.06.2021,24788,12722,0,0.000,0.513,351,0.028,229,0.652,0.018
28.06.2021,29545,13177,0,0.000,0.446,362,0.027,227,0.627,0.017
29.06.2021,23371,10958,0,0.000,0.469,360,0.033,233,0.647,0.021
30.06.2021,26397,12128,0,0.000,0.459,347,0.029,218,0.628,0.018
01.07.2021,22526,10611,1620,0.072,0.471,311,0.029,189,0.608,0.018
02.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
03.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
04.07.2021,42550,16604,2269,0.053,0.390,524,0.032,371,0.708,0.022
05.07.2021,20758,9878,1461,0.070,0.476,299,0.030,203,0.679,0.021
06.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
07.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
08.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
09.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
10.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
11.07.2021,36298,11104,699,0.019,0.306,286,0.026,195,0.682,0.018
12.07.2021,32986,10929,1242,0.038,0.331,290,0.027,195,0.672,0.018
13.07.2021,37256,18739,3201,0.086,0.503,99,0.005,0,0.000,0.000
14.07.2021,74661,35541,7151,0.096,0.476,120,0.003,78,0.650,0.002
15.07.2021,2574,1217,215,0.084,0.473,29,0.024,0,0.000,0.000
16.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
17.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
18.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
19.07.2021,56099,18118,2801,0.050,0.323,435,0.024,264,0.607,0.015
20.07.2021,75877,15946,1021,0.013,0.210,358,0.022,227,0.634,0.014
21.07.2021,56728,19287,933,0.016,0.340,509,0.026,222,0.436,0.012
22.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
23.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
24.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
25.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
26.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
27.07.2021,0,0,0,0.000,0.000,0,0.000,0,0.000,0.000
